Country,Individual – G,Individual – F,Project – G,Project – F,EU Mobility – G,EU Mobility – F,Total – G,Total – F,Grand Total
Argentina,29,205,149,382,0,3,178,590,768
Bahamas,1,1,1,1,0,0,2,2,4
Barbados,0,4,0,5,0,2,0,11,11
Belize,0,27,0,4,0,10,0,41,41
Bolivia,5,483,11,93,0,2,16,578,594
Brazil,70,175,123,668,19,20,212,863,"1,075"
Chile,30,50,94,248,0,2,124,300,424
Costa Rica,15,1,65,136,0,9,80,146,226
Dominica,1,10,3,1,0,14,4,25,29
Dominican Republic,13,78,6,36,0,7,19,121,140
Ecuador,3,27,2,306,0,10,5,343,348
El Salvador,6,21,37,27,0,0,43,48,91
Guatemala,1,2,1,29,0,1,2,32,34
Haiti,42,45,204,43,0,6,246,94,340
Honduras,7,3,18,149,0,5,25,157,182
Jamaica,70,517,304,"1,495",0,8,374,"2,020","2,394"
Colombia,3,33,3,54,0,10,6,97,103
Cuba,4,503,6,544,0,7,10,"1,054","1,064"
Mexico,3,29,2,28,0,14,5,71,76
Nicaragua,9,12,32,16,0,20,41,48,89
Panama,5,17,5,21,0,2,10,40,50
Paraguay,317,68,248,382,0,5,565,455,"1,020"
Peru,2,18,3,1,0,8,5,27,32
Saint Lucia,2,21,6,1,0,1,8,23,31
Trinidad & Tobago,3,235,32,450,0,5,35,690,725
Uruguay,9,18,5,1,0,8,14,27,41
Venezuela,5,21,6,78,0,10,11,109,120
Latin America Total,317,"2,350","1,074","4,635",33,85,"1,424","7,070","8,494"
